Star            ObsName         BC     JD-2.44e6   I2(o=y,t=n)
   KIC8462852T    ramp.193     -14148.766   17347.613389       t
    KIC8462852    ramp.194     -14176.244   17347.635842       o
   KIC8462852T    raot.266       9187.411   17471.941658       t
    KIC8462852    raot.271       9180.307   17471.972596       o
   KIC8462852T    raoz.236      11011.842   17482.901741       t
    KIC8462852    raoz.237      11009.327   17482.924114       o
   KIC8462852T    rapg.228      12639.946   17495.872290       t
    KIC8462852    rapg.236      12609.074   17495.941100       o
   KIC8462852T    rapl.207      13598.256   17507.816392       t
   KIC8462852T    rapn.212      13707.281   17509.812175       t
    KIC8462852    rapn.213      13706.266   17509.836019       o
    KIC8462852    rapr.195      14007.814   17520.807085       o
   KIC8462852T    rapr.199      13979.839   17520.862840       t
   KIC8462852T    rapz.257      13288.511   17537.979554       t
    KIC8462852    rapz.258      13251.578   17538.001001       o
    KIC8462852    raqd.242      12645.142   17545.983558       o
   KIC8462852T    raqd.243      12609.328   17546.004242       t
    KIC8462852    raqi.212      11496.488   17556.923791       o
   KIC8462852T    raqi.213      11456.917   17556.945910       t
   KIC8462852T    raqn.222      10358.242   17564.921791       t
    KIC8462852    raqn.223      10319.023   17564.943528       o
    KIC8462852    raqt.237       8911.273   17573.885992       o
   KIC8462852T    raqu.241       8548.282   17575.883376       t
   KIC8462852T    rarb.252       6441.642   17586.846880       t
    KIC8462852    rarb.253       6399.968   17586.869219       o
    KIC8462852    rarf.214       4971.791   17593.835219       o
   KIC8462852T    rarf.215       4930.216   17593.857395       t
    KIC8462852    rarj.239       3442.987   17600.812157       o
   KIC8462852T    rarl.220       2815.476   17603.776412       t
    KIC8462852    rarn.217       1980.027   17607.719903       o
    KIC8462852    rart.205        368.222   17614.697705       o
   KIC8462852T    rart.208        311.047   17614.730437       t
    KIC8462852    rasb.214      -3010.221   17628.739052       o
   KIC8462852T    rasb.217      -3068.043   17628.769688       t
    KIC8462852    rasg.200      -4607.371   17635.724820       o
   KIC8462852T    rash.200      -5066.547   17637.728144       t
    KIC8462852    rasn.198      -7156.183   17647.688542       o
   KIC8462852T    raso.192      -7369.367   17648.692071       t
   KIC8462852T    rasp.201      -7522.408   17649.664188       t
   KIC8462852T    rasq.206     -11044.641   17668.695934       t
    KIC8462852    rasq.207     -11079.249   17668.717091       o
    KIC8462852    rata.189     -13075.409   17684.688361       o
   KIC8462852T    ratc.196     -13351.967   17687.683288       t
   KIC8462852T    ravx.265       5892.729   17821.039919       t
   KIC8462852T    ravx.266       5889.524   17821.045301       t
   KIC8462852T    ravx.267       5886.065   17821.050672       t
   KIC8462852T    raxm.239      13899.611   17891.893590       t
   KIC8462852T    raxm.240      13890.720   17891.900940       t
   KIC8462852T    raxm.241      13881.309   17891.908394       t
   KIC8462852T    raxn.241      13836.836   17893.906911       t
   KIC8462852T    raxn.242      13807.698   17893.927919       t
   KIC8462852T    raxn.243      13774.859   17893.949772       t
   KIC8462852T    raxn.244      13740.912   17893.971093       t
   KIC8462852T    raxo.238      13763.728   17894.937502       t
   KIC8462852T    raxo.239      13730.244   17894.958962       t
   KIC8462852T    raxo.240      13694.808   17894.980652       t
   KIC8462852T    raxo.241      13659.338   17895.001799       t
   KIC8462852T    raxp.258      13738.861   17896.905242       t
   KIC8462852T    raxp.259      13708.042   17896.926678       t
   KIC8462852T    raxp.260      13674.619   17896.948300       t
   KIC8462852T    raxp.261      13639.430   17896.969933       t
   KIC8462852T    raxq.237      13702.883   17897.901005       t
   KIC8462852T    raxq.238      13692.633   17897.908366       t
   KIC8462852T    raxq.239      13680.576   17897.916746       t
   KIC8462852T    raxw.240      12915.288   17909.884727       t
   KIC8462852T    raxw.241      12903.844   17909.892216       t
   KIC8462852T    raxw.242      12892.212   17909.899647       t
   KIC8462852T    raxx.237      12766.860   17911.859973       t
   KIC8462852T    raxx.238      12756.204   17911.867462       t
   KIC8462852T    raxx.239      12745.223   17911.874939       t
   KIC8462852T    rayc.223      12227.293   17917.787381       t
   KIC8462852T    rayc.224      12219.718   17917.794869       t
   KIC8462852T    rayc.225      12211.798   17917.802231       t
   KIC8462852T    rayc.246      12090.547   17917.888137       t
   KIC8462852T    rayc.247      12077.992   17917.895672       t
   KIC8462852T    rayc.248      12065.356   17917.903138       t
   KIC8462852T    raye.196      11783.885   17919.927732       t
   KIC8462852T    raye.197      11770.683   17919.935163       t
   KIC8462852T    raye.198      11757.283   17919.942686       t
   KIC8462852T    rayf.214      11687.678   17921.833489       t
   KIC8462852T    rayf.215      11676.842   17921.840919       t
   KIC8462852T    rayf.216      11665.529   17921.848443       t
   KIC8462852T    rayf.224      11585.412   17921.897276       t
   KIC8462852T    rayf.225      11572.331   17921.904788       t
   KIC8462852T    rayf.226      11559.184   17921.912265       t
   KIC8462852T    rayi.238      10897.408   17927.804937       t
   KIC8462852T    rayi.239      10887.223   17927.812229       t
   KIC8462852T    rayi.240      10876.341   17927.819752       t
   KIC8462852T    rayj.246      10276.184   17930.901249       t
   KIC8462852T    rayj.247      10262.820   17930.908610       t
   KIC8462852T    rayj.248      10249.349   17930.916018       t
   KIC8462852T    rayk.242      10094.110   17931.912950       t
   KIC8462852T    rayk.243      10080.455   17931.920450       t
   KIC8462852T    rayk.244      10066.851   17931.927939       t
   KIC8462852T    rayl.253       9758.486   17933.916176       t
   KIC8462852T    rayl.254       9745.061   17933.923549       t
   KIC8462852T    rayl.255       9731.382   17933.931096       t
   KIC8462852T    raym.248       9092.777   17937.903281       t
   KIC8462852T    raym.249       9083.336   17937.908432       t
   KIC8462852T    raym.250       9070.748   17937.915319       t
   KIC8462852T    rayn.231       8532.244   17940.913798       t
   KIC8462852T    rayn.232       8518.913   17940.921148       t
   KIC8462852T    rayn.233       8505.224   17940.928764       t
   KIC8462852T    rayo.243       8404.492   17941.882715       t
   KIC8462852T    rayo.244       8390.632   17941.890226       t
   KIC8462852T    rayo.245       8377.196   17941.897518       t
   KIC8462852T    rayq.111       7727.473   17945.837068       t
   KIC8462852T    rayq.112       7713.887   17945.844545       t
   KIC8462852T    rayq.113       7700.150   17945.852045       t
   KIC8462852T    rayr.221       7215.176   17948.791458       t
   KIC8462852T    rayr.222       7202.349   17948.799016       t
   KIC8462852T    rayr.223       7189.539   17948.806424       t
   KIC8462852T    rayv.292       5944.585   17954.807213       t
   KIC8462852T    rayv.293       5930.781   17954.814783       t
   KIC8462852T    rayv.294       5917.294   17954.822109       t
   KIC8462852T    raza.169       4417.677   17961.800724       t
   KIC8462852T    raza.170       4403.719   17961.808224       t
   KIC8462852T    raza.171       4389.721   17961.815701       t
   KIC8462852T    razc.230       4198.594   17962.797451       t
   KIC8462852T    razc.231       4184.809   17962.804859       t
   KIC8462852T    razc.232       4170.744   17962.812370       t
   KIC8462852T    razd.251       3732.432   17964.804376       t
   KIC8462852T    raze.212       3277.763   17966.803265       t
   KIC8462852T    raze.213       3263.517   17966.810823       t
   KIC8462852T    raze.214       3249.400   17966.818300       t
   KIC8462852T    razg.234       2167.725   17971.779559       t
   KIC8462852T    razg.235       2153.291   17971.787245       t
   KIC8462852T    razg.236       2139.318   17971.794652       t
   KIC8462852T    razh.227       1930.019   17972.782159       t
   KIC8462852T    razh.228       1915.992   17972.789601       t
   KIC8462852T    razh.229       1902.033   17972.796985       t
   KIC8462852T    razl.219       -167.390   17981.768851       t
   KIC8462852T    razl.220       -181.398   17981.776236       t
   KIC8462852T    razl.221       -195.647   17981.783747       t
   KIC8462852T    razm.212       -249.381   17982.681987       t
   KIC8462852T    razm.213       -261.653   17982.689429       t
   KIC8462852T    razm.214       -274.377   17982.696964       t
   KIC8462852T    ramp.193     -14148.766   17347.613389       t
   KIC8462852T    raot.266       9187.411   17471.941658       t
   KIC8462852T    raoz.236      11011.842   17482.901741       t
   KIC8462852T    rapg.228      12639.946   17495.872290       t
   KIC8462852T    rapl.207      13598.256   17507.816392       t
   KIC8462852T    rapn.212      13707.281   17509.812175       t
   KIC8462852T    rapr.199      13979.839   17520.862840       t
   KIC8462852T    rapz.257      13288.511   17537.979554       t
   KIC8462852T    raqd.243      12609.328   17546.004242       t
   KIC8462852T    raqi.213      11456.917   17556.945910       t
   KIC8462852T    raqn.222      10358.242   17564.921791       t
   KIC8462852T    raqu.241       8548.282   17575.883376       t
   KIC8462852T    rarb.252       6441.642   17586.846880       t
   KIC8462852T    rarf.215       4930.216   17593.857395       t
   KIC8462852T    rarl.220       2815.476   17603.776412       t
   KIC8462852T    rart.208        311.047   17614.730437       t
   KIC8462852T    rasb.217      -3068.043   17628.769688       t
   KIC8462852T    rash.200      -5066.547   17637.728144       t
   KIC8462852T    raso.192      -7369.367   17648.692071       t
   KIC8462852T    rasp.201      -7522.408   17649.664188       t
   KIC8462852T    rasq.206     -11044.641   17668.695934       t
   KIC8462852T    ratc.196     -13351.967   17687.683288       t
   KIC8462852T    ravx.265       5892.729   17821.039919       t
   KIC8462852T    ravx.266       5889.524   17821.045301       t
   KIC8462852T    ravx.267       5886.065   17821.050672       t
   KIC8462852T    raxm.239      13899.611   17891.893590       t
   KIC8462852T    raxm.240      13890.720   17891.900940       t
   KIC8462852T    raxm.241      13881.309   17891.908394       t
   KIC8462852T    raxn.241      13836.836   17893.906911       t
   KIC8462852T    raxn.242      13807.698   17893.927919       t
   KIC8462852T    raxn.243      13774.859   17893.949772       t
   KIC8462852T    raxn.244      13740.912   17893.971093       t
   KIC8462852T    raxo.238      13763.728   17894.937502       t
   KIC8462852T    raxo.239      13730.244   17894.958962       t
   KIC8462852T    raxo.240      13694.808   17894.980652       t
   KIC8462852T    raxo.241      13659.338   17895.001799       t
   KIC8462852T    raxp.258      13738.861   17896.905242       t
   KIC8462852T    raxp.259      13708.042   17896.926678       t
   KIC8462852T    raxp.260      13674.619   17896.948300       t
   KIC8462852T    raxp.261      13639.430   17896.969933       t
   KIC8462852T    raxq.237      13702.883   17897.901005       t
   KIC8462852T    raxq.238      13692.633   17897.908366       t
   KIC8462852T    raxq.239      13680.576   17897.916746       t
   KIC8462852T    raxw.240      12915.288   17909.884727       t
   KIC8462852T    raxw.241      12903.844   17909.892216       t
   KIC8462852T    raxw.242      12892.212   17909.899647       t
   KIC8462852T    raxx.237      12766.860   17911.859973       t
   KIC8462852T    raxx.238      12756.204   17911.867462       t
   KIC8462852T    raxx.239      12745.223   17911.874939       t
   KIC8462852T    rayc.223      12227.293   17917.787381       t
   KIC8462852T    rayc.224      12219.718   17917.794869       t
   KIC8462852T    rayc.225      12211.798   17917.802231       t
   KIC8462852T    rayc.246      12090.547   17917.888137       t
   KIC8462852T    rayc.247      12077.992   17917.895672       t
   KIC8462852T    rayc.248      12065.356   17917.903138       t
   KIC8462852T    raye.196      11783.885   17919.927732       t
   KIC8462852T    raye.197      11770.683   17919.935163       t
   KIC8462852T    raye.198      11757.283   17919.942686       t
   KIC8462852T    rayf.214      11687.678   17921.833489       t
   KIC8462852T    rayf.215      11676.842   17921.840919       t
   KIC8462852T    rayf.216      11665.529   17921.848443       t
   KIC8462852T    rayf.224      11585.412   17921.897276       t
   KIC8462852T    rayf.225      11572.331   17921.904788       t
   KIC8462852T    rayf.226      11559.184   17921.912265       t
   KIC8462852T    rayi.238      10897.408   17927.804937       t
   KIC8462852T    rayi.239      10887.223   17927.812229       t
   KIC8462852T    rayi.240      10876.341   17927.819752       t
   KIC8462852T    rayj.246      10276.184   17930.901249       t
   KIC8462852T    rayj.247      10262.820   17930.908610       t
   KIC8462852T    rayj.248      10249.349   17930.916018       t
   KIC8462852T    rayk.242      10094.110   17931.912950       t
   KIC8462852T    rayk.243      10080.455   17931.920450       t
   KIC8462852T    rayk.244      10066.851   17931.927939       t
   KIC8462852T    rayl.253       9758.486   17933.916176       t
   KIC8462852T    rayl.254       9745.061   17933.923549       t
   KIC8462852T    rayl.255       9731.382   17933.931096       t
   KIC8462852T    raym.248       9092.777   17937.903281       t
   KIC8462852T    raym.249       9083.336   17937.908432       t
   KIC8462852T    raym.250       9070.748   17937.915319       t
   KIC8462852T    rayn.231       8532.244   17940.913798       t
   KIC8462852T    rayn.232       8518.913   17940.921148       t
   KIC8462852T    rayn.233       8505.224   17940.928764       t
   KIC8462852T    rayo.243       8404.492   17941.882715       t
   KIC8462852T    rayo.244       8390.632   17941.890226       t
   KIC8462852T    rayo.245       8377.196   17941.897518       t
   KIC8462852T    rayq.111       7727.473   17945.837068       t
   KIC8462852T    rayq.112       7713.887   17945.844545       t
   KIC8462852T    rayq.113       7700.150   17945.852045       t
   KIC8462852T    rayr.221       7215.176   17948.791458       t
   KIC8462852T    rayr.222       7202.349   17948.799016       t
   KIC8462852T    rayr.223       7189.539   17948.806424       t
   KIC8462852T    rayv.292       5944.585   17954.807213       t
   KIC8462852T    rayv.293       5930.781   17954.814783       t
   KIC8462852T    rayv.294       5917.294   17954.822109       t
   KIC8462852T    raza.169       4417.677   17961.800724       t
   KIC8462852T    raza.170       4403.719   17961.808224       t
   KIC8462852T    raza.171       4389.721   17961.815701       t
   KIC8462852T    razc.230       4198.594   17962.797451       t
   KIC8462852T    razc.231       4184.809   17962.804859       t
   KIC8462852T    razc.232       4170.744   17962.812370       t
   KIC8462852T    razd.251       3732.432   17964.804376       t
   KIC8462852T    raze.212       3277.763   17966.803265       t
   KIC8462852T    raze.213       3263.517   17966.810823       t
   KIC8462852T    raze.214       3249.400   17966.818300       t
   KIC8462852T    razg.234       2167.725   17971.779559       t
   KIC8462852T    razg.235       2153.291   17971.787245       t
   KIC8462852T    razg.236       2139.318   17971.794652       t
   KIC8462852T    razh.227       1930.019   17972.782159       t
   KIC8462852T    razh.228       1915.992   17972.789601       t
   KIC8462852T    razh.229       1902.033   17972.796985       t
   KIC8462852T    razl.219       -167.390   17981.768851       t
   KIC8462852T    razl.220       -181.398   17981.776236       t
   KIC8462852T    razl.221       -195.647   17981.783747       t
   KIC8462852T    razm.212       -249.381   17982.681987       t
   KIC8462852T    razm.213       -261.653   17982.689429       t
   KIC8462852T    razm.214       -274.377   17982.696964       t
